support,itemsets
0.17266666666666666,frozenset({'toothpaste'})
0.16133333333333333,frozenset({'milk'})
0.157,frozenset({'tomatoes'})
0.15566666666666668,frozenset({'soda'})
0.15466666666666667,frozenset({'onions'})
0.15366666666666667,frozenset({'soap'})
0.151,frozenset({'biscuits'})
0.151,frozenset({'yogurt'})
0.15066666666666667,frozenset({'eggs'})
0.15066666666666667,frozenset({'potatoes'})
0.15033333333333335,frozenset({'juice'})
0.14933333333333335,frozenset({'coffee'})
0.149,frozenset({'bread'})
0.149,frozenset({'tea'})
0.148,frozenset({'pasta'})
0.14666666666666667,frozenset({'detergent'})
0.146,frozenset({'butter'})
0.146,frozenset({'chicken'})
0.14566666666666667,frozenset({'rice'})
0.14533333333333334,frozenset({'apples'})
0.145,frozenset({'sugar'})
0.145,frozenset({'beef'})
0.14466666666666667,frozenset({'lettuce'})
0.14433333333333334,frozenset({'salt'})
0.14433333333333334,frozenset({'cereal'})
0.143,frozenset({'cheese'})
0.14133333333333334,frozenset({'carrots'})
0.136,frozenset({'bananas'})
0.13166666666666665,frozenset({'chocolate'})
0.13066666666666665,frozenset({'pepper'})
